gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
U15642,516.9025309684406,1.6219290061017032e-200,0.2053176461908018,0.4292187502741311,0.1322449691981396,0.06991125712561053
NM_016121,516.1367412633771,2.5225776483902772e-200,0.35150965373031795,0.10556670712436772,0.31515601745549343,0.2824342129535453
D86983,515.6740212007975,3.2948074780167924e-200,0.525398172096375,0.1539779415094777,0.25960726437343695,0.17105229831365656
AL136903,515.3322932376308,4.013550069085681e-200,0.40430064429315404,0.16775415617312434,0.4415774068827759,0.3556753670753434
NM_000448,509.7173067736878,1.0391450603954454e-198,0.38668397297429075,0.07887237554490724,0.09736229514826367,0.08774993926026796
NM_001700,506.47490176377363,6.871439962496878e-198,0.348570675196109,0.17733520559204216,0.6456657029137537,0.7833213445752166
NM_007287,506.2057138750233,8.040810417254821e-198,0.5036426221240534,0.11430821966827859,0.0892705204135626,0.28660394493923635
AW298127,504.7443407897536,1.8889253516561498e-197,0.1927733081083215,0.3901094997042342,0.12717342378158514,0.10343561395136423
AA954994,504.3251810544887,2.4139238354066825e-197,0.4778109955977341,0.09680180042640223,0.45188361394367677,0.3800252298283022
X59350,502.14647840767645,8.653724321734558e-197,0.4160461138096561,0.49363230935883423,0.18996441149033233,0.14537897324839297
AL121780,502.05598132913275,9.125699666043627e-197,0.20358223561838337,0.4063506254666968,0.3903113218451984,0.3734163829060488
NM_003243,501.44991789108843,1.3025252927170008e-196,0.27094147101881993,0.525611749429743,0.25521647366278366,0.2906787696965905
AY043466,495.0978460121865,5.5099935110553566e-195,0.06517643835384894,0.2712031982854826,0.060626447432699834,0.051033741101449336
AI524095,492.25329636307504,2.9754601412967374e-194,0.413979549200163,0.6717972916389819,0.3146429641556415,0.18403306014316026
AL078599,490.82077441495426,6.972059177771782e-194,0.23075739918500954,0.3443524795368251,0.5350326564351409,0.6297280046828958
D55639,489.33876784082673,1.6851067804821247e-193,0.13978347152956427,0.4557397442276468,0.3729496051390666,0.3235908192257549
BC002807,486.4536800229247,9.435316204454104e-193,0.36560338168456263,0.6300977003222277,0.22546101910884747,0.1532525253417187
X02189,484.815994675967,2.5154103374949668e-192,0.5180559463867354,0.2350455792581482,0.42718227398998543,0.2745261864606724
BC000731,480.88691504693537,2.6657908923045502e-191,0.4052817116260802,0.17141795810312035,0.47572687053726803,0.4829584963099901
X12530,478.28662169757786,1.2796118548472318e-190,0.3434166421797639,0.6050991349959676,0.20276079308567752,0.15736130865420722
AW193698,472.75997052334293,3.650668911505298e-189,0.20387088679046367,0.44656637166371327,0.1845688096896278,0.20086262552717402
NM_016459,471.5161804531152,7.785426871609497e-189,0.523127930973648,0.3217012617532714,0.28673802308941165,0.18367031766751485
NM_000222,465.11607732578136,3.9076004218814065e-187,0.1643921837516112,0.10410575543919319,0.4270970106472765,0.2841414202784383
AW246673,463.3108709364638,1.185992345837726e-186,0.3803749798771438,0.5187953563430642,0.6823889805649042,0.7405066462450249
BC003060,457.40776795066574,4.5557423390511475e-185,0.17266589606505472,0.2886582865588021,0.3681890842167784,0.39354173457899777
AI743534,455.5808294067533,1.4169742144634014e-184,0.2545044917171103,0.5575095933197923,0.19968557104482842,0.4071633368730545
AI242661,454.54762047407286,2.695092847704388e-184,0.49598320375341887,0.23214359270243712,0.4417868409059391,0.28690219133399264
BF342851,453.87879622908395,4.0880175888512054e-184,0.5427362388298941,0.17655776221823843,0.2666083328454875,0.1817730154928773
BG435302,452.97320550660805,7.190399476261411e-184,0.5780557559123861,0.2010322568568751,0.15976091215553684,0.20657256470863222
BF432625,451.2623482330188,2.093370893642718e-183,0.38720158422622114,0.14515372475742788,0.41011860282504603,0.31255965558595433
NM_001770,451.22445026283185,2.143572166388006e-183,0.49409499186851563,0.562982154672156,0.20564701570495095,0.14992881921488185
AU145682,447.26029311557363,2.573179698882851e-182,0.5163195955400449,0.17171381231601732,0.13467050628765606,0.1293316883533153
BF797381,447.110819847777,2.8266762646971207e-182,0.3128775989149757,0.525952615315401,0.20569918072032328,0.1340395636250114
NM_001780,445.6546185827174,7.066933923094543e-182,0.5702160151179777,0.6065986586522453,0.7030262617749463,0.7174636707749478
NM_017843,444.96150314528967,1.0937352579992582e-181,0.23980988167363024,0.37025046782403054,0.16484070022804265,0.13989717071486082
AF208502,442.0378231163626,6.932760559556604e-181,0.43879917763822945,0.13652100247716073,0.10060092333454192,0.13374988567950422
NM_014943,440.60978925548585,1.7129440411235382e-180,0.49690339820237334,0.5304608068385708,0.30306311995370844,0.289689407099125
NM_001972,432.3631614102038,3.28665911470032e-178,0.4393953519164149,0.19074674865097313,0.6640752740313048,0.8091607773026754
W73890,431.85647461689683,4.5481766071647073e-178,0.4085342169487251,0.1457399482355465,0.11373028103153474,0.11757489943573642
NM_003851,431.76455174318767,4.824392154875555e-178,0.5258121055747391,0.4856808404379253,0.6759951439349104,0.6363936038904412
AW474852,429.61673190965263,1.9169458886264464e-177,0.410413505449686,0.6766566947291169,0.27185687585099666,0.21870747591953638
NM_015642,428.86441589826467,3.1108840172476916e-177,0.36086330914852816,0.5145447831365126,0.33494249125399017,0.3316378664485244
NM_001771,425.60890746355625,2.5423421981018305e-176,0.34354794141569456,0.43396947539179637,0.09429500837074707,0.06581536290604012
AL133109,424.8850671859672,4.060946528298111e-176,0.3809960210007517,0.059613169783938526,0.09528843300183329,0.04017248066943571
AA535128,422.653867443105,1.7251049221049572e-175,0.31412113299422445,0.15619040373712778,0.4090509768937812,0.38210117331770954
